zaman,sehir,tur,hedef_saat,kalan_dk,olasilik,durum
2026-09-23T19:15:56.432Z,Antalya,,,,,beklenmiyor
2026-09-23T19:15:56.469Z,Rize,rain,2026-09-23T21:00:00Z,104,0.4,bekleniyor
2026-09-23T19:41:08.595Z,Istanbul,,,,,beklenmiyor
2026-09-23T19:41:08.685Z,Ankara,,,,,beklenmiyor
2026-09-23T19:41:08.759Z,Izmir,,,,,beklenmiyor
2026-09-23T19:41:08.844Z,Antalya,,,,,beklenmiyor
2026-09-23T19:41:08.926Z,Rize,rain,2026-09-23T21:00:00Z,79,0.4,bekleniyor
2026-09-23T19:54:17.130Z,Istanbul,,,,,beklenmiyor
2026-09-23T19:54:17.175Z,Ankara,,,,,beklenmiyor
2026-09-23T19:54:17.205Z,Izmir,,,,,beklenmiyor
2026-09-23T19:54:17.275Z,Antalya,,,,,beklenmiyor
2026-09-23T19:54:17.295Z,Rize,rain,2026-09-23T21:00:00Z,66,0.4,bekleniyor
2026-09-23T20:14:47.867Z,Istanbul,,,,,beklenmiyor
2026-09-23T20:14:47.913Z,Ankara,,,,,beklenmiyor
2026-09-23T20:14:48.009Z,Izmir,,,,,beklenmiyor
2026-09-23T20:14:48.103Z,Antalya,,,,,beklenmiyor
2026-09-23T20:14:48.159Z,Rize,rain,2026-09-23T21:00:00Z,45,0.4,bekleniyor
2026-09-23T20:32:00.561Z,Istanbul,,,,,beklenmiyor
2026-09-23T20:32:00.651Z,Ankara,,,,,beklenmiyor
2026-09-23T20:32:00.693Z,Izmir,,,,,beklenmiyor
2026-09-23T20:32:00.712Z,Antalya,,,,,beklenmiyor
2026-09-23T20:32:00.752Z,Rize,rain,2026-09-23T21:00:00Z,28,0.4,bekleniyor
2026-09-23T20:52:31.102Z,Istanbul,,,,,beklenmiyor
2026-09-23T20:52:31.184Z,Ankara,,,,,beklenmiyor
2026-09-23T20:52:31.250Z,Izmir,,,,,beklenmiyor
2026-09-23T20:52:31.323Z,Antalya,,,,,beklenmiyor
2026-09-23T20:52:31.388Z,Rize,rain,2026-09-23T21:00:00Z,7,0.4,bekleniyor
2026-09-23T21:13:57.528Z,Istanbul,,,,,beklenmiyor
2026-09-23T21:13:57.624Z,Ankara,,,,,beklenmiyor
2026-09-23T21:13:57.671Z,Izmir,,,,,beklenmiyor
2026-09-23T21:13:57.756Z,Antalya,,,,,beklenmiyor
2026-09-23T21:13:57.798Z,Rize,rain,2026-09-23T22:00:00Z,46,0.42,bekleniyor
2026-09-23T21:30:30.159Z,Istanbul,,,,,beklenmiyor
2026-09-23T21:30:30.253Z,Ankara,,,,,beklenmiyor
2026-09-23T21:30:30.307Z,Izmir,,,,,beklenmiyor
2026-09-23T21:30:30.390Z,Antalya,,,,,beklenmiyor
2026-09-23T21:30:30.437Z,Rize,rain,2026-09-23T22:00:00Z,29,0.42,bekleniyor
2026-09-23T21:52:04.291Z,Istanbul,,,,,beklenmiyor
2026-09-23T21:52:04.420Z,Ankara,,,,,beklenmiyor
2026-09-23T21:52:04.552Z,Izmir,,,,,beklenmiyor
2026-09-23T21:52:04.665Z,Antalya,,,,,beklenmiyor
2026-09-23T21:52:04.748Z,Rize,rain,2026-09-23T22:00:00Z,8,0.42,bekleniyor
2026-09-23T22:13:41.956Z,Istanbul,,,,,beklenmiyor
2026-09-23T22:13:42.114Z,Ankara,,,,,beklenmiyor
2026-09-23T22:13:42.211Z,Izmir,,,,,beklenmiyor
2026-09-23T22:13:42.335Z,Antalya,,,,,beklenmiyor
2026-09-23T22:13:42.463Z,Rize,rain,2026-09-23T23:00:00Z,46,0.48,bekleniyor
2026-09-23T22:29:30.057Z,Istanbul,,,,,beklenmiyor
2026-09-23T22:29:30.488Z,Ankara,,,,,beklenmiyor
2026-09-23T22:29:30.531Z,Izmir,,,,,beklenmiyor
2026-09-23T22:29:30.554Z,Antalya,,,,,beklenmiyor
2026-09-23T22:29:30.579Z,Rize,rain,2026-09-23T23:00:00Z,30,0.48,bekleniyor
2026-09-23T22:44:15.267Z,Istanbul,,,,,beklenmiyor
2026-09-23T22:44:15.311Z,Ankara,,,,,beklenmiyor
2026-09-23T22:44:15.374Z,Izmir,,,,,beklenmiyor
2026-09-23T22:44:15.414Z,Antalya,,,,,beklenmiyor
2026-09-23T22:44:15.453Z,Rize,rain,2026-09-23T23:00:00Z,16,0.48,bekleniyor
2026-09-23T22:56:06.711Z,Istanbul,,,,,beklenmiyor
2026-09-23T22:56:06.731Z,Ankara,,,,,beklenmiyor
2026-09-23T22:56:06.774Z,Izmir,,,,,beklenmiyor
2026-09-23T22:56:06.793Z,Antalya,,,,,beklenmiyor
2026-09-23T22:56:06.814Z,Rize,rain,2026-09-23T23:00:00Z,4,0.48,bekleniyor
2026-09-23T23:12:34.146Z,Istanbul,,,,,beklenmiyor
2026-09-23T23:12:34.200Z,Ankara,,,,,beklenmiyor
2026-09-23T23:12:34.218Z,Izmir,,,,,beklenmiyor
2026-09-23T23:12:34.267Z,Antalya,,,,,beklenmiyor
2026-09-23T23:12:34.287Z,Rize,rain,2026-09-24T00:00:00Z,47,0.52,bekleniyor
2026-09-23T23:26:25.006Z,Istanbul,,,,,beklenmiyor
2026-09-23T23:26:25.059Z,Ankara,,,,,beklenmiyor
2026-09-23T23:26:25.114Z,Izmir,,,,,beklenmiyor
2026-09-23T23:26:25.166Z,Antalya,,,,,beklenmiyor
2026-09-23T23:26:25.208Z,Rize,rain,2026-09-24T00:00:00Z,34,0.41,bekleniyor
2026-09-23T23:40:53.636Z,Istanbul,,,,,beklenmiyor
2026-09-23T23:40:53.691Z,Ankara,,,,,beklenmiyor
2026-09-23T23:40:53.744Z,Izmir,,,,,beklenmiyor
2026-09-23T23:40:53.767Z,Antalya,,,,,beklenmiyor
2026-09-23T23:40:53.802Z,Rize,rain,2026-09-24T00:00:00Z,19,0.41,bekleniyor
2026-09-23T23:52:32.527Z,Istanbul,,,,,beklenmiyor
2026-09-23T23:52:32.600Z,Ankara,,,,,beklenmiyor
2026-09-23T23:52:32.648Z,Izmir,,,,,beklenmiyor
2026-09-23T23:52:32.744Z,Antalya,,,,,beklenmiyor
2026-09-23T23:52:32.806Z,Rize,rain,2026-09-24T00:00:00Z,7,0.41,bekleniyor
